L30cm   eL30cm      L2m     eL2m
--------------------------------
3.366   0.004       3.365   0.002
3.368	0.011	    3.364   0.003
3.352	0.010	    3.366   0.010
3.367	0.001	    3.369   0.001
3.363	0.052	    3.379   0.010
3.371	0.012	    3.362   0.002
3.362	0.008	    3.360   0.002
3.364	0.010	    3.366   0.002
3.350	0.100	    3.375   0.050
3.355	0.005	    3.367   0.003
3.364	0.010	    3.361   0.005
3.329	0.005	    3.365   0.001
3.365	0.011	    3.364   0.003
3.361	0.011	    3.366   0.001
3.369	0.063	    3.364   0.029
3.344	0.020	    3.373   0.020
3.352	0.030	    3.364   0.005
3.353	0.011	    3.362   0.002
3.260	0.002	    3.362   0.002
3.366	-1	    3.356   -1
3.365	0.005	    3.007   0.008
3.367	0.009	    3.361   0.009
3.083	0.005	    3.168   0.005
3.367	0.025	    3.368   0.010
3.124	0.005	    3.374   0.005
3.371	0.009	    3.364   0.003
3.356	0.022	    3.362   0.005
3.367	0.050	    3.362   0.005
3.090	0.030	    3.060   0.005
3.370	0.011	    3.368   0.002
3.386	0.055	    3.366   0.010
3.364	0.060	    3.365   0.020
3.366	0.003	    3.365   0.002
3.361	0.020	    3.369   0.010
3.357	0.010	    3.353   0.007
3.360	0.010	    3.372   0.002
3.365	0.003	    3.360   0.005
3.350	0.010	    3.360   0.005
3.371	-1	    3.364   -1
3.305	0.010	    3.150   0.010
3.000	0.011	    3.361   0.002
3.345	0.025	    3.370   0.010
3.370	0.008	    3.366   0.002
3.362	0.009	    3.365   0.002
3.369	0.003	    3.363   0.001
3.315	0.021	    3.375   0.011
3.363	0.005	    3.362   0.005
3.360	0.020	    3.350   0.010
2.768	0.020	    2.364   0.030	    
3.364	0.033	    3.370   0.002
3.382	0.006	    3.366   0.003
3.300	0.100	    3.375   0.020
3.375	0.050	    3.375   0.005
3.322	0.050	    3.362   0.060
3.300	0.300	    3.360   0.040   	
3.370   0.040       3.361   0.010
3.361   0.005       3.365   0.0005
3.420   0.005       3.420   0.005
3.690   0.005       3.360   0.005
3.3645  0.010       3.364   0.005
