L30cm	eL30cm	L2m	eL2m
--------------------------------
3.3850  0.1000   3.3630  0.0200
3.3460  0.0300   3.3600  0.0100
3.3800  0.0050   3.3640  0.0050
3.3080  0.0100   3.3600  0.0050
3.3380  -1.0000   3.3640  -1.0000
3.3550  0.0240   3.3680  0.0050
3.3695  0.0050   3.1695  0.0020
3.3680  0.0100   3.3630  0.0030
3.3750  0.0050   3.3640  0.0010
3.4320  0.0500   3.4160  0.1500
3.3800  0.0600   3.3600  0.0300
3.3700  0.0010   3.3660  0.0002
3.3440  0.0050   3.3510  0.0050
3.3750  0.0200   3.3600  0.0300
3.3620  0.0250   3.3640  0.0200
3.3540  0.0500   3.4490  0.0200
3.3470  0.0100   3.3650  0.0050
3.3650  0.0120   3.3650  0.0050
2.7590  0.0020   3.3620  0.0020
3.3820  0.0200   3.3700  0.0200
3.3490  0.0220   3.2510  0.0250
3.3720  0.1270   3.3330  0.0220
3.3460  0.0200   3.3630  0.0050
3.3600  0.0110   3.3640  0.0010
3.3720  0.0110   3.3650  0.0030
3.0500  0.0110   3.3600  0.0020
3.3630  0.0060   3.3625  0.0050
3.0810  0.0100   3.3650  0.0050
3.3340  0.0500   3.3600  0.0200
3.3400  0.0200   3.3740  0.0050
3.3560  0.0240   3.3650  0.0040
3.3600  0.0400   3.3600  0.0050
3.2850  0.0500   3.3650  0.1000
3.3400  0.1000   3.3450  0.0200
3.3390  0.1000   3.3640  0.0500
3.0980  0.0830   3.3460  0.0210
3.0770  0.0300   3.3660  0.0160
3.3750  0.0440   3.3600  0.0440
2.7440  0.0500   3.6540  0.0200
3.3640  0.2050   3.3920  0.0550
3.3480  0.0100   3.3540  0.0050
3.3020  0.0620   3.3880  0.0500
3.6350  0.0010   3.3710  0.0010
3.3750  0.5000   3.3700  0.5000
3.3640  0.0550   3.3610  0.0100
3.3420  0.0500   3.3500  0.0200
3.3670  0.0500   3.3820  0.0400
3.0650  0.5100   3.3450  0.2050
3.3520  0.0100   3.3650  0.0200
3.0500  0.1000   3.4500  0.0500
3.3670  0.0300   3.3630  0.0100
3.3690  0.0190   3.3660  0.0150
3.3500  0.0300   3.3610  0.0100
3.3750  0.0500   3.3310  0.0200
3.0610  0.0700   3.0650  0.0050
3.3650  0.0120   3.3600  0.0060
3.0670  0.0400   3.3640  0.0150
3.1170  0.1000   3.3650  0.0300
3.0650  0.0500   3.3560  0.0200
3.3670  0.0500   3.3610  0.0200
3.3600  0.0300   3.3670  0.0050
3.3060  0.0500   3.3250  0.0400
3.6570  0.0250   3.3650  0.0100
3.0910  0.3500   3.3610  0.0300
3.5720  0.0550   3.3600  0.0080
3.3820  0.0090   3.3630  0.0040
3.3910  0.0100   3.3720  0.0050
3.3560  0.0730   3.3650  0.0620
3.3350  0.1100   3.3730  0.0200
3.3640  0.0300   3.3600  0.0030
3.3000  0.0600   1.3750  0.0000
3.3730  0.0100   3.3600  0.0050
3.4610  0.0100   3.3610  0.0100
3.3960  0.2050   3.3600  0.0250
3.3750  0.3000   3.4250  0.0500
3.3650  0.0150   3.3700  0.0050
3.3700  0.0050   3.3650  0.0050
3.3570  0.0050   3.3570  0.0050
3.1150  0.0500   3.3650  0.0200
3.3640  0.0500   3.3640  0.0050
3.0620  0.0200   3.3570  0.0100
3.3450  0.0500   3.3650  0.0200
3.3820  0.0500   3.3850  0.0200
3.1000  0.0500   3.3000  0.0500
3.0100  0.0500   3.3600  0.0200
3.3650  0.0100   3.3720  0.0050
3.3670  0.0110   3.3640  0.0040
2.7000  0.0300   3.3650  0.0100
3.3730  0.0100   3.3660  0.0020
3.3500  0.0300   3.3700  0.0100
3.3200  0.0100   3.3620  0.0050
3.0600  0.0100   3.3600  0.0100
3.3500  0.0300   3.3600  0.0100
3.3600  0.0050   3.3650  0.0050
3.3640  0.0030   3.3680  0.0030
3.3600  0.0500   3.3700  0.0200
3.3450  0.0500   3.3650  0.0200
3.3650  0.0300   3.3550  0.0200
