30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m Day
-----------------------------------------------
3.4 0.011 1.365 0.005 1
3.354 0.011 3.363 0.002 1
3.36 0.06 3.35 0.01 1
3.354 0.005 3.365 0.005 1
3.473 0.1 3.36 0.04 1
3.373 0.011 3.371 0.002 1
3.35 0.05 3.363 0.02 1
3.654 0.126 3.366 0.056 1
3.407 0.1 3.364 0.03 1
3.367 0.025 3.363 0.005 1
3.365 0.005 3.365 0.001 1
3.366 0.107 3.353 0.053 2
3.325 0.025 3.52 0.05 2
3.841 0.12 3.359 0.04 2
3.369 0.055 3.313 0.002 2
3.2 0.02 3.3 0.005 2
3.35 0.055 2.65 0.05 2
2.65 0.1 3.34 0.1 2
3.349 0.012 3.375 0.002 2
2.994 0.1 3.37 0.04 2
3.362 0.015 2.645 0.01 2
3.27 0.25 3.36 0.1 2
3.063 0.02 3.377 0.004 2
3.363 0.065 3.369 0.025 2
3.674 0.075 2.679 0.15 2
3.193 0.085 3.403 0.02 2
3.361 0.011 3.368 0.005 2
3.368 0.112 3.37 0.054 2
3.366 0.024 3.363 0.002 2
3.052 0.05 3.364 0.006 2
3.362 0.01 3.366 0.005 2
3.366 0.01 3.368 0.005 2
3.326 0.011 3.372 0.002 3
3.355 0.01 3.36 0.005 3
3.362 0.023 3.365 0.003 3
3.365 0.011 3.363 0.008 3
3.045 0.05 3.362 0.05 3
2.972 0.023 3.374 0.032 3
3.351 0.01 3.31 0.02 3
3.071 0.12 3.362 0.02 3
3.332 0.005 3.365 0.0 3
3.369 0.03 3.367 0.01 3
3.355 0.003 3.355 0.001 3
3.376 0.011 3.369 0.002 3
3.361 0.022 3.364 0.003 3
3.374 0.02 3.357 0.04 3
3.244 0.15 3.369 0.01 3
3.366 0.01 3.364 0.005 3
2.758 0.005 3.366 0.01 3
3.358 0.022 3.361 0.004 3
3.334 0.055 3.365 0.03 3
3.325 0.012 3.365 0.002 3
3.365 0.01 3.36 0.005 3
3.055 0.055 3.362 0.011 3
3.374 0.022 3.362 0.08 4
3.371 0.011 3.361 0.002 4
3.378 0.02 3.361 0.002 4
3.652 0.02 3.362 0.01 4
3.326 0.001 3.358 0.001 4
3.363 0.03 3.364 0.003 4
3.354 0.02 3.359 0.02 4
3.361 0.001 3.364 0.002 4
3.367 0.011 3.364 0.005 4
2.333 0.085 2.355 0.025 4
3.666 0.023 3.632 0.013 4
3.381 0.015 3.35 0.02 4
3.069 0.011 3.355 0.002 4
3.155 0.05 3.35 0.02 4
3.361 0.024 3.367 0.004 4
3.36 0.005 3.366 0.003 4
3.395 0.011 3.392 0.002 4
3.376 0.012 3.349 0.002 4
3.368 0.012 3.368 0.001 4
3.362 0.025 3.362 0.005 4
3.325 0.1 3.355 0.035 4
3.064 0.013 3.066 0.011 4
3.388 0.018 3.364 0.033 4
3.37 0.015 3.36 0.015 4
3.65 0.03 3.366 0.005 4
3.37 0.1 3.364 0.01 4
3.338 0.01 3.36 0.02 4
3.362 0.01 3.364 0.005 4
3.662 0.025 3.362 0.02 4
3.65 0.015 1.704 0.01 4
3.35 0.03 3.362 0.02 6
3.36 0.02 3.363 0.009 6
3.36 0.01 3.352 0.002 6
3.371 0.05 3.355 0.01 6
3.388 0.03 3.375 0.01 6
3.364 0.05 3.354 0.01 6
3.37 0.005 3.366 0.005 6
3.375 0.005 3.363 0.003 6
3.37 0.055 3.366 0.05 6
3.35 0.11 3.36 0.02 6
3.45 0.11 3.365 0.01 6
3.342 0.005 3.5 0.05 6
3.362 0.02 3.284 0.02 6
3.068 0.025 3.367 0.005 6
3.071 0.07 3.422 0.035 6
3.36 0.05 3.35 0.01 6
3.4 0.1 3.36 0.005 6
3.96 0.3 3.362 0.001 6
3.364 0.011 3.363 0.006 6
3.357 0.06 3.367 0.01 6
3.327 0.05 3.373 0.02 6
