L30cm   eL30cm      L2m     eL2m
---------------------------------
3.364   0.100       3.364   0.001 
1.370   0.010       1.368   0.001 
3.356   0.030       3.362   0.005 
3.363   0.009       3.353   0.005 
4.260   0.100       3.345   0.150 
3.354   0.010       3.362   0.005 
3.455   0.200       3.358   0.050 
3.350   0.050       3.370   0.030 
3.040   0.200       3.350   0.100 
3.370   0.010       3.365   0.001 
3.355   0.005       3.365   0.010 
3.000   0.500      -1.000  -0.010 
3.358   0.012       3.368   0.005 
3.373   0.050       3.365   0.050 
3.365   0.003       3.650   0.030 
3.350   0.050       3.360   0.020 
3.360   0.040       3.360   0.010 
3.600   0.600       3.350   0.000 
3.360   0.020       3.360   0.010 
3.340   0.250       3.360   0.020 
3.350   0.050       3.360   0.010 
3.650   0.150       3.360   0.050 
3.355   0.100       3.363   0.020 
3.365   0.005       3.361   0.005 
3.700   0.300       3.350   0.020 
3.355  -1.000       3.355  -0.010 
3.640   0.100       3.370   0.100 
3.355   0.005       3.364   0.020 
3.360   0.100       3.355   0.010 
3.368   0.012       3.362   0.002 
3.367  -1.000       3.360  -0.010 
3.363   0.020       3.344   0.020 
3.500   0.150       3.350   0.030 
3.364  -1.000       3.365  -0.010 
3.360   0.020       3.360   0.010 
3.364   0.050       3.360   0.020 
3.380  -1.000       3.440  -0.010 
3.354   0.100       3.360   0.050 
3.362   0.050       3.365   0.030 
3.670  -1.000       3.640  -0.010 
