L30cm	eL30cm	L2m	eL2m
--------------------------------
3.3650  0.0200   3.3940  0.0100
3.0460  0.0340   3.3660  0.0060
3.3700  0.0400   3.3650  0.0100
3.3650  0.0200   3.3650  0.0100
3.3600  0.0220   3.3680  0.0040
3.3780  0.1200   3.3650  0.0300
3.3550  0.0150   3.3600  0.0010
3.3660  0.0300   3.3650  0.0100
3.3480  0.0150   3.3630  0.0100
3.3620  0.0240   3.3650  0.0050
3.3500  0.1000   3.3690  0.0500
3.3600  0.0200   3.3650  0.0100
3.3690  0.0120   3.3630  0.0020
3.3640  0.0050   3.3630  0.0030
3.2600  0.0700   3.3600  0.0100
3.3750  0.0110   3.3600  0.0020
3.3500  0.0050   3.3650  0.0020
3.3600  0.0340   3.3650  0.0100
3.0550  0.0050   3.0650  0.0050
3.3500  0.0080   3.3750  0.0090
3.0640  0.0050   3.3660  0.0050
3.3660  0.0110   3.3580  0.0060
3.6530  0.0120   3.3650  0.0030
3.3650  0.0200   3.3940  0.0100
3.0460  0.0340   3.3660  0.0060
3.3700  0.0400   3.3650  0.0100
3.3650  0.0200   3.3650  0.0100
3.3600  0.0220   3.3680  0.0040
3.3780  0.1200   3.3650  0.0300
3.3550  0.0150   3.3600  0.0010
3.3660  0.0300   3.3650  0.0100
3.3480  0.0150   3.3630  0.0100
3.3620  0.0240   3.3650  0.0050
3.3500  0.1000   3.3690  0.0500
3.3600  0.0200   3.3650  0.0100
3.3690  0.0120   3.3630  0.0020
3.3640  0.0050   3.3630  0.0030
3.2600  0.0700   3.3600  0.0100
3.3750  0.0110   3.3600  0.0020
3.3500  0.0050   3.3650  0.0020
3.3600  0.0340   3.3650  0.0100
3.0550  0.0050   3.0650  0.0050
3.3500  0.0080   3.3750  0.0090
3.0640  0.0050   3.3660  0.0050
3.3660  0.0110   3.3580  0.0060
3.6530  0.0120   3.3650  0.0030
3.3310  0.1000   3.3670  0.0200
3.3300  0.0500   3.3250  0.1000
3.3590  0.0100   3.3640  0.0100
3.3850  0.0110   3.3660  0.0100
3.3620  0.1000   3.3510  0.0200
3.0480  0.1050   3.3630  0.0320
3.3600  0.0400   3.3650  0.0300
3.3660  0.0150   3.3630  0.0150
2.7500  0.0100   3.3620  0.0050
3.3640  0.0050   3.3660  0.0050
3.3300  0.1000   3.3640  0.0020
3.3550  0.0120   2.8500  0.0200
3.3660  0.0100   3.3670  0.0050
3.3700  0.0500   3.3650  0.0200
3.3660  0.0300   3.3630  0.0100
3.3450  0.0550   3.3900  0.0100
3.3640  0.0080   3.3650  0.0030
3.3460  0.0800   3.3640  0.0300
3.2920  0.1100   3.3660  0.0150
3.3700  0.0800   3.3600  0.0200
3.6700  0.0010   3.6470  0.0010
3.0580  0.1500   3.3920  0.0300
3.3570  0.0300   3.3680  0.0200
3.3750  0.0050   3.3550  0.0030
3.3000  0.1000   3.3600  0.0500
3.3670  0.1000   3.3640  0.0300
3.0500  0.0500   3.3600  0.0500
3.3410  0.0500   3.3620  0.0800
3.3640  0.0200   3.3570  0.0300
3.3620  0.0500   3.3560  0.0300
3.3580  0.0110   3.3550  0.0030
3.3760  0.0110   3.3610  0.0020
3.3650  0.0300   3.3650  0.0200
3.3550  0.1050   3.2950  0.0550
3.4100  0.0400   3.3650  0.0150
3.3650  0.0150   3.3670  0.0040
3.3620  0.0050   3.3440  0.0100
3.3410  0.1100   3.3650  0.0200
3.3450  0.0300   3.3610  0.0100
3.3540  0.0050   3.3670  0.0030
3.3250  0.0110   3.3610  0.0020
3.3640  0.0100   3.3610  0.0020
3.3370  0.0300   3.3650  0.0100
3.3490  0.0100   3.3510  0.0100
3.3640  0.0110   3.3650  0.0020
3.3610  0.0500   3.3550  0.0050
3.3820  0.0250   3.3450  0.0050
3.3480  0.0600   3.3620  0.0050
3.3550  0.0750   1.3550  0.0150
3.3820  0.0550   3.3740  0.0150
3.3000  0.0500   3.3500  0.0200
3.3650  0.0050   3.3550  0.0100
3.0520  0.1000   3.3730  0.0500
3.3850  0.1000   3.3640  0.0400
3.3670  0.5000   3.3510  0.0500
3.3500  0.0110   3.3640  0.0020
3.3560  0.0500   3.3640  0.0300
3.0650  0.0700   3.3650  0.0050
3.3700  0.0500   3.3600  0.0200
3.3650  0.0120   3.3640  0.0040
3.1530  0.0500   3.3550  0.0100
3.6330  0.0650   3.3680  0.0100
3.3440  0.0400   3.3630  0.0200
3.3730  0.0300   3.3760  0.0100
3.5550  0.0500   3.3650  0.0100
